index,symbol
0,BTCUSDT
1,ETHUSDT
2,USDCUSDT
3,SOLUSDT
4,BNBUSDT
5,FDUSDUSDT
6,XRPUSDT
7,ZECUSDT
8,DOGEUSDT
9,ASTERUSDT
10,SUIUSDT
11,TRXUSDT
12,ADAUSDT
13,AVAXUSDT
14,UNIUSDT
15,LINKUSDT
16,PEPEUSDT
17,BCHUSDT
18,ENAUSDT
19,HMSTRUSDT
20,XPLUSDT
21,PAXGUSDT
22,LTCUSDT
23,NEARUSDT
24,USDEUSDT
25,EURUSDT
26,LAYERUSDT
27,TAOUSDT
28,AAVEUSDT
29,USD1USDT
30,0GUSDT
31,PUMPUSDT
32,PENGUUSDT
33,WIFUSDT
34,GIGGLEUSDT
35,ARBUSDT
36,BARDUSDT
37,DOTUSDT
38,FILUSDT
39,LUNAUSDT
40,WLDUSDT
41,APTUSDT
42,HBARUSDT
43,ACTUSDT
44,SHIBUSDT
45,BONKUSDT
46,SEIUSDT
47,WBTCUSDT
48,BFUSDUSDT
49,TRUMPUSDT
50,POLUSDT
51,USTCUSDT
52,TONUSDT
53,LUNCUSDT
54,CAKEUSDT
55,ICPUSDT
56,WLFIUSDT
57,VIRTUALUSDT
58,STRKUSDT
59,XUSDUSDT
60,XLMUSDT
61,FETUSDT
62,OPUSDT
63,CRVUSDT
64,INJUSDT
65,ATUSDT
66,EIGENUSDT
67,FORMUSDT
68,MMTUSDT
69,SYRUPUSDT
70,USUALUSDT
71,OGUSDT
72,SOMIUSDT
73,TIAUSDT
74,AIXBTUSDT
75,LRCUSDT
76,ATOMUSDT
77,DASHUSDT
78,ETCUSDT
79,FLOKIUSDT
80,LDOUSDT
81,NEIROUSDT
82,PENDLEUSDT
83,ARUSDT
84,HAEDALUSDT
85,ZENUSDT
86,ONDOUSDT
87,ETHFIUSDT
88,ORDIUSDT
89,ARKMUSDT
90,HEMIUSDT
91,BERAUSDT
92,1INCHUSDT
93,LINEAUSDT
94,JUVUSDT
95,GALAUSDT
96,RENDERUSDT
97,DOGSUSDT
98,ZKUSDT
99,EPICUSDT
100,TWTUSDT
101,SIGNUSDT
102,SAHARAUSDT
103,ALGOUSDT
104,KAIAUSDT
105,SUSDT
106,RUNEUSDT
107,METUSDT
108,VETUSDT
109,WBETHUSDT
110,GUNUSDT
111,BIOUSDT
112,BATUSDT
113,PARTIUSDT
114,KMNOUSDT
115,ENSUSDT
116,FFUSDT
117,GHSTUSDT
